0a	0:AH;1:EY
3nam	10:EH B N AH M
3o	10:IY B OW
4ard	10:IY B AO R D
4e	01:OW
5r	100:IY B OW ER
6s	100:IY B OW ER Z
4ld	10:EH B OW L D
5t	10:EH B OW L T
4na	010:OW N AH
6ir	201:EH R
5is	100:EH B AH N IH S
5o	010:OW N OW
4r	10:EH B AO R
5a	10:EH B R AH
6h	100:EH B ER AH;10:EH B R AH
7's	100:EH B ER AH Z;10:EH B R AH Z
5d	01:AO R D
6e	01:AO R D
4se	10:EH B AH S
4w	10:EH B OW
4y	01:OY
3ra	10:EH B R AH
5udwick	010:AA D W IH K
4ecen	110:EH T S IH N
4ief	01:IY F
7ed	01:IY F T
7ing	010:IY F IH NG
7s	01:IY F S
5s	01:IY
4osse	10:EH B R AH S
4uhl	10:EH B R AH L
5in	100:EH B R UW IH N
5ler	100:EH B R UW L ER
5yn	10:EH B R AY N
7e	10:EH B R AY N
3s	1:EH B Z
3t	1:EH T
4's	1:EH T S
4holder	120:OW L D ER
as	120:OW L D ER Z
4or	10:EH T ER
6's	10:EH T ER Z
6s	10:EH T ER Z
7'	10:EH T ER Z
4s	1:EH T S
3ug	01:AH G
5ging	010:AH G IH NG
4hr	10:EH B UH R
4nk	01:AH NG K
6ed	01:AH NG K T
6ing	010:AH NG K IH NG
6s	01:AH NG K S
4s	10:EH B IH S
5k	10:EH B AH S K
5sy	010:AH S IY;010:UW S IY
7's	010:AH S IY Z;010:UW S IY Z
4t	01:UW;10:EY B Y UW
5ante	101:AA N T
9s	101:AA N T S
5ed	01:UW D;10:EY B Y UW D
5ing	010:UW IH NG
5s	10:EY B Y UW Z
2c	1:EH K
3's	1:EH K S
3ade	01:EY D;10:EH K EY D
6's	10:EH K EY D Z
6nce	100:EH K AH D AH N S
7t	100:EH K AH D AH N T
8s	100:EH K AH D AH N T S
6s	01:EY D Z;10:EH K EY D Z
4f	10:IY K AE F
5feinate	0102:EY T
cd	01020:EY T IH D
bing	01020:EY T IH NG
con	02010:EY SH AH N
4ire	10:IY K EH R
4ls	12:AE L Z
4millo	2010:IH L OW
9's	2010:IH L OW Z
5p	01:AE M P
6ed	01:AE M P T
4ndia	0100:AA N D IY AH
5t	01:AE N T
6ing	010:AE N T IH NG
4pitate	0102:EY T
ad	01020:EY T IH D
9ion	02010:EY SH AH N
cs	02010:EY SH AH N Z
5rio	0100:AA P R IY OW
5ua	0010:UW AH
4rava	0100:AE AH V AH
8's	0100:AE AH V AH Z
5li	010:AA R L IY
6o	010:AA R L OW
5o	010:AA R OW
6lis	1000:EH K ER AH L IH S;0100:ER AH L IH S
4stro	010:AE S T R OW
4thlete	010:AE TH L IY T
7on	010:AE TH L AO N
5o	010:AA T OW
5ur	010:EY T ER
4y	01:EY
5ed	01:EY D
5ing	010:EY IH NG
5s	01:EY Z
3ca	10:EH K AH
3ease	01:IY S
7d	01:IY S T
4cco	010:EH K OW
4dent	010:IY D AH N T
8's	010:IY D AH N T S
8s	010:IY D AH N T S
4it	01:IY T
6ful	010:IY T F AH L
6s	01:IY T S
5ve	01:IY V
7d	01:IY V D
6ing	010:IY V IH NG
4lerate	0102:EY T
ad	01020:EY T IH D
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
5le	01:EH L
7s	10:EH S AH L Z
4mber	010:EH M B ER
8's	010:EH M B ER Z
4ncy	100:IY S AH N S IY
5nial	0100:EH N IY AH L
5t	10:IY S AH N T
6ly	100:IY S AH N T L IY
6ralization	020010:EY SH AH N
be	0102:AY Z
cd	0102:AY Z D
bing	01020:AY Z IH NG
4ption	010:EH P SH AH N
9s	010:EH P SH AH N Z
7ve	010:EH P T IH V
9ly	0100:EH P T IH V L IY
4rtification	020010:EY SH AH N
9ed	0102:AY D
8y	0102:AY
4sare	0010:AA R IY
7is	0100:EH S ER IH S
3h	1:EH K
4ant	10:EY CH AH N T
4ellis	100:EH K IH L IH S
5ne	10:EH K IY N
5rd	10:EH CH ER D
6t	10:EH K ER T
4ine	12:IH N;01:IH N
4ristopher	1000:EH K R IH S T AA F ER
3ibel	102:EH L
7s	100:EH S AH B AH L Z
4cco	010:IY K OW
4de	21:AY D
6d	210:AY D IH D
7ly	2100:AY D AH D L IY
6r	210:AY D ER
6s	21:AY D Z
5ing	210:AY D IH NG
5uous	2100:IH JH UW AH S
4liter	1020:IY T ER
4ma	010:IY M AH
6l	100:EH S AH M AH L
7s	100:EH S AH M AH L Z
6te	102:EY T
8d	1020:EY T IH D
7ing	1020:EY T IH NG
8on	1020:EY SH AH N
4pher	010:AY F ER
8ed	010:AY F ER D
8ing	0100:AY F ER IH NG
4sion	010:IH ZH AH N
8's	010:IH ZH AH N Z
8-maker	01020:EY K ER
cing	01020:EY K IH NG
8maker	01020:EY K ER
bing	01020:EY K IH NG
8s	010:IH ZH AH N Z
6ve	010:AY S IH V
8ly	0100:AY S IH V L IY
8ness	0100:AY S IH V N AH S
3k	1:EH K
4ard	01:AA R D
4ed	1:EH K T
5r	10:EH K ER
6's	10:EH K ER Z
6t	10:EH K ER T
4ing	10:EH K IH NG
4man	10:EH K M AH N
4s	1:EH K S
3laim	01:EY M
7ed	01:EY M D
5rant	010:EH R AH N T
7tion	2010:EY SH AH N
bs	2010:EY SH AH N Z
9ve	0100:EH R AH T IH V
8ory	01020:AO R IY
6e	01:EH R
7d	01:EH R D
7s	01:EH R Z
6ing	010:EH R IH NG
5ssified	0102:AY D
9y	0102:AY
4ension	010:EH N SH AH N
as	010:EH N SH AH N Z
5rck	01:ER K
8's	01:ER K S
7q	01:ER K
8's	01:ER K S
6k	01:ER K
7's	01:ER K S
6que	01:ER K
9's	01:ER K S
4ine	01:AY N
7d	01:AY N D
7r	010:AY N ER
8s	010:AY N ER Z
7s	01:AY N Z
6ing	010:AY N IH NG
4ue	10:EH K L UW
3o	10:EH K OW
4de	01:OW D
6d	010:OW D AH D
6r	010:OW D ER
7s	010:OW D ER Z
6s	01:OW D Z
5ing	010:OW D IH NG
4la	010:OW L AH
4m	12:AA M
5mission	0010:IH SH AH N
ced	0010:IH SH AH N D
cing	00100:IH SH AH N IH NG
5pose	201:OW Z
9d	201:OW Z D
9s	2010:OW Z IH Z
8ing	2010:OW Z IH NG
9tion	20010:IH SH AH N
6ression	2010:EH SH AH N
4ncini	2010:IY N IY
5gestant	0010:EH S T AH N T
cs	0010:EH S T AH N T S
5struct	201:AH K T
bion	0010:AH K SH AH N
5taminate	00102:EY T
dd	001020:EY T IH D
cion	002010:EY SH AH N
6rol	201:OW L
9led	201:OW L D
4ok	01:UH K
4r	01:AO R;10:EY K AO R
5ate	102:EY T
8d	1020:EY T IH D
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
as	2010:EY SH AH N Z
8ve	100:EH K R AH T IH V
7or	1020:EY T ER
9s	1020:EY T ER Z
5dova	2210:OW V AH
5ous	100:EH K ER AH S
5te	010:AO R T IY
5um	010:AO R AH M
4sta	010:OW S T AH
6e	010:OW S T IY
7r	100:EH K AH S T ER
4teau	100:EH K AH T OW
4u	01:UW
5ple	010:AH P AH L
7ing	010:AH P L IH NG
5rcy	100:EH K UH R K IY
6sey	100:EH K AO R S IY
4y	01:OY
5s	10:IY K OY Z
3rane	01:EY N
4ease	01:IY S;12:IY S
8d	01:IY S T;12:IY S T
8s	010:IY S AH Z;010:IY S IH Z;120:IY S IH Z
7ing	010:IY S IH NG;120:IY S IH NG
5e	01:IY
6d	01:IY D
6s	01:IY Z
5pit	010:EH P IH T
8ly	0100:EH P IH T L IY
5scenzo	0010:EH N Z OW
4ied	01:AY D
6s	01:AY Z
5minalization	0200010:EY SH AH N
ce	02001:AY Z
cing	020010:AY Z IH NG
5stofaro	00010:AA R OW
4y	01:AY
5ing	010:AY IH NG
3ter	10:EH K T ER
3uir	10:EH K IH R
4rtis	010:ER T AH S
3world	10:EH K W ER L D
2de	1:IY D
4aux	01:OW
4cker	100:EH D IH K ER
4richs	10:EH D R IH K S
7k	100:EH D ER IH K
4urwaerder	0120:AA R D ER
3ham	10:EH D AH M
3ic	10:EH D IH K
5ate	102:EY T
8d	1000:EH D AH K EY T AH D
8s	102:EY T S
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
4os	010:IY OW Z
3man	10:EH D M AH N
4on	10:EH D M AH N
3o	10:EY D OW
4minicis	00010:IY S IH S
3rick	10:EH D R IH K
3uce	01:UW S
6d	01:UW S T
5t	01:AH K T
6ed	010:AH K T IH D
6ibility	020100:IH L AH T IY
8le	0100:AH K T AH B AH L
as	0100:AH K T AH B AH L Z
7ng	010:AH K T IH NG
7on	010:AH K SH AH N
9s	010:AH K SH AH N Z
7ve	010:AH K T AH V
9ly	0100:AH K T AH V L IY
6s	01:AH K T S
2e	1:IY
3's	1:IY Z
3b	1:IY B
3d	1:IY D
4ed	10:IY D AH D;10:IY D IH D
5e	11:IY
4rick	10:IY D R IH K
8's	10:IY D R IH K S
4s	1:IY D Z
4y	10:IY D IY
3g	1:IY G
4an	10:IY G AH N
3han	12:AE N;10:IY AH N
3l	1:IY L
4ey	10:IY L IY
4y	10:IY L IY
3m	1:IY M
4ed	1:IY M D
5r	10:IY M ER
4phasize	0102:AY Z
aing	01020:AY Z IH NG
4s	1:IY M Z
3n	1:IY N
4er	10:IY N ER
5y	10:IY N IY
3p	1:IY P
4ak	12:AE K
4en	10:IY P AH N
6ed	10:IY P AH N D
6ing	100:IY P AH N IH NG;10:IY P N IH NG
6s	10:IY P AH N Z
5r	10:IY P ER
5st	10:IY P AH S T
4ly	10:IY P L IY
4water	120:AO T ER
3r	1:IH R
4borne	10:IH R B AO R N
4e	1:IH R
5's	1:IH R Z
4field	10:IH R F IY L D
4ing	10:IH R IH NG
4man	10:IH R M AH N
4skin	12:IH N
4y	10:IH R IY
3s	1:IY Z
4e	1:IY Z
3t	1:IY T
4er	10:IY T ER
4s	1:IY T S
4z	1:IY T S
2fabio	0100:AA B IY OW
4ce	01:EY S
6d	01:EY S T
5ing	010:EY S IH NG
4lco	010:AA L K OW
4mation	2010:EY SH AH N
7ory	01020:AO R IY
5e	01:EY M
6d	01:EY M D
4rges	010:AA R JH IH Z
4ult	01:AO L T
7ed	010:AO L T IH D
8r	010:AO L T ER
9s	010:AO L T ER Z
7ing	010:AO L T IH NG
7s	01:AO L T S
4zio	0100:AA Z IY OW;0100:EY Z IY OW
3con	01:AA N
3easance	010:IY Z AH N S
5t	01:IY T
6ed	010:IY T AH D;010:IY T IH D
6ing	010:IY T IH NG
7sm	0100:IY T IH Z AH M
8t	010:IY T IH S T
6s	01:IY T S
4ct	10:IY F EH K T;01:EH K T
6ed	010:EH K T IH D
6ing	010:EH K T IH NG
7on	010:EH K SH AH N
9s	010:EH K SH AH N Z
7ve	010:EH K T IH V
6or	010:EH K T ER
8s	010:EH K T ER Z
6s	10:IY F EH K T S;01:EH K T S
4e	10:EH F IY
4lice	010:EH L IH S
4nbaugh	100:EH F IH N B AW
5ce	01:EH N S
5d	01:EH N D
6ant	010:EH N D AH N T
9's	010:EH N D AH N T S
9s	010:EH N D AH N T S
a'	010:EH N D AH N T S
6ed	010:EH N D AH D;010:EH N D IH D
7r	010:EH N D ER
8's	010:EH N D ER Z
8s	010:EH N D ER Z
6ing	010:EH N D IH NG
6s	01:EH N D Z
5estration	02010:EY SH AH N
5se	01:EH N S
7's	010:EH N S IH Z
7less	010:EH N S L AH S
7s	010:EH N S AH Z;010:EH N S IH Z
6ible	0100:EH N S AH B AH L
7ve	010:EH N S IH V
9ly	0100:EH N S IH V L IY
9ness	0100:EH N S IH V N AH S
4o	100:IY F IY OW
4r	01:ER
5ence	100:EH F ER AH N S;10:EH F R AH N S
7tial	2010:EH N CH AH L;2010:EH N SH AH L
5ment	010:ER M AH N T
9s	010:ER M AH N T S
5ral	010:ER AH L
8s	010:ER AH L Z
6ed	01:ER D
6ing	010:ER IH NG
5s	01:ER Z
4x	12:EH K S
3fenbaugh	100:EH F IH N B AW
5yes	01:AY Z
3iance	010:AY AH N S
6t	010:AY AH N T
7ly	0100:AY AH N T L IY
4baugh	102:AO
5rillator	01020:EY T ER
ds	01020:EY T ER Z
4ciencies	0100:IH SH AH N S IY Z
9y	0100:IH SH AH N S IY
8t	010:IH SH AH N T
6t	100:EH F AH S AH T
7's	100:EH F AH S AH T S
7s	100:EH F IH S IH T S
4ed	01:AY D
5s	01:AY Z
4lippis	1000:EH F IH L IH P IH S;0010:IH P AH S
8o	0010:IY P OW
4na	010:IY N AH
6ble	0100:AY N AH B AH L
5e	01:AY N
6d	01:AY N D
6s	01:AY N Z
5ing	010:AY N IH NG
6te	100:EH F AH N AH T
8ly	1000:EH F AH N AH T L IY
7ion	2010:IH SH AH N
as	2010:IH SH AH N Z
8ve	0100:IH N IH T IH V
aly	01000:IH N IH T IH V L IY
5o	010:IY N OW
4ore	0010:AO R IY
3late	01:EY T
7d	010:EY T IH D
6ing	010:EY T IH NG
7on	010:EY SH AH N
9ary	01020:EH R IY
6or	010:EY T ER
4ect	01:EH K T
7ed	010:EH K T IH D
7ing	010:EH K T IH NG
8on	010:EH K SH AH N
7or	010:EH K T ER
9s	010:EH K T ER Z
7s	01:EH K T S
5ur	01:ER
3oe	01:OW
5's	01:OW Z
4liant	0100:OW L IY AH N T
9s	0100:OW L IY AH N T S
5let	010:AO L AH T
8s	010:AO L AH T S
4or	10:EH F UH R
4rd	10:EH F ER D
6's	10:EH F ER D Z
5e	10:IY F AO R
6st	010:AO R AH S T
8ation	02010:EY SH AH N
5ge	10:EH F ER G
5m	21:AO R M
6ation	2010:EY SH AH N
6ed	01:AO R M D
6ities	0100:AO R M AH T IY Z
8y	0100:AO R M AH T IY
5rest	010:AO R IH S T
3rain	01:EY N
5nce	10:IY F R AH N S
8sco	0010:EH S K OW
7isco	0010:IY S K OW
7o	010:AA N K OW
6k	10:EH F R AH NG K
5tes	100:EH F ER EY T S
5ud	01:AO D
7ed	010:AO D IH D
7ing	010:AO D IH NG
5y	01:EY
6s	01:EY Z
4ees	01:IY Z
7e	10:EH F R IY S
5itas	100:EH F R AY T AH Z
4ies	01:IY Z
4ost	01:AO S T
7ing	010:AO S T IH NG
3t	1:EH F T
4erios	2100:EH R IY OW Z
4ly	10:EH F T L IY
3unct	01:AH NG K T
5d	01:AH N D
6ing	010:AH N D IH NG
4sco	010:UW S K OW
5e	01:UW Z
6d	01:UW Z D
5ing	010:UW Z IH NG
3y	01:AY
4ing	010:AY IH NG
2gaetano	00010:AA N OW
4n	10:IY G AH N
4rmo	010:AA R M OW
4s	10:EY G AH S;10:EY G AH
4ulle	01:AA L
8's	01:AA L Z
3en	10:EH G AH N
5er	100:EH G IY N ER
7acy	01000:EH N ER AH S IY
8te	0100:EH N ER AH T;0102:EY T
ad	01020:EY T IH D
as	0100:EH N ER AH T S
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
ave	01000:EH N ER AH T IH V
7es	0010:EH R EH S
5hardt	100:EH G IH N HH AA R T
8t	102:AA R T
5naro	0010:AA R OW
4orge	100:EH G IY ER G
4r	10:IY G ER
3iacomo	1000:IY JH AH K OW M OW
4dio	0100:IY D IY OW
4rolamo	00010:AA M OW
3ler	10:EH G L ER
3nan	10:EH G N AH N
4er	10:EH G N ER
3ood	10:EH G UH D
3raaf	10:EH G R AA F
5ce	010:AA CH IY;01:EY S
5dable	0100:EY D AH B AH L
7tion	2010:EY SH AH N
bs	2010:EY SH AH N Z
6e	01:EY D
7d	010:EY D AH D;010:EY D IH D
7s	01:EY D Z
6ing	010:EY D IH NG
5ff	10:EH G R AH F
7enreid	1000:EH G R AH F IH N R AY D
5nd	10:EH G R AE N D
6ge	10:EH G R EY N JH
5sse	010:AA S IY
5ve	010:AA V IY
5w	10:EH G R AO
5y	10:EH G R EY
5zia	0100:AA Z IY AH
4ee	01:IY
6d	01:IY D
6s	01:IY Z
5gorio	00100:AO R IY OW
8y	1000:EH G R IH G ER IY
4oat	10:EH G R OW T
5ff	10:EH G R AO F
5ot	10:EH G R UW T
7e	01:UW T
3uerin	010:ER IH N
4ire	010:IH R EY
4ssa	010:UW S AH
4tare	2010:AA R IY
8's	2010:AA R IY Z
4zman	001:AE N
2haan	10:EH HH AA N
5s	10:EH HH AA Z
4rbe	010:AA R B IY
5t	10:EH HH AA R T
4ven	100:EH HH AH V AH N
3ecq	01:EH K
4re	010:IH R IY
5rera	0010:EH R AH
3ler	10:EH L ER
3m	1:EH M
4er	10:EH M ER
3n	1:EH N
4e	1:EH N
5r	10:EH N ER
6t	10:EH N ER T
3off	10:EH HH AO F
4yos	100:EH HH OY OW Z
3umanization	220010:EY SH AH N
9e	0100:UW M AH N AY Z
ad	0100:UW M AH N AY Z D
9ing	01020:AY Z IH NG
5idified	00100:IH D AH F AY D
br	001000:IH D AH F AY ER
bs	00100:IH D AH F AY Z
9y	00100:IH D AH F AY
3ydrate	010:AY D R EY T
9d	0100:AY D R EY T AH D
8ion	2010:EY SH AH N
2ibel	10:AY B AH L
5rt	10:AY B ER T
4ler	100:AY B AH L ER;10:AY B L ER
3chert	10:AY K ER T
3dre	10:IY D R AH
6's	10:IY D R AH Z
3fication	20010:EY SH AH N
5ed	102:AY D
4y	102:AY
3ghan	10:EY G AH N
5ton	10:EY T AH N
4n	1:EY N
5an	01:AE N
5ed	1:EY N D
5ing	10:EY N IH NG
5s	1:EY N Z
3hl	1:AY L
3ke	1:IY K
5l	10:AY K AH L
3ly	10:IY L IY
3nes	1:IY N Z
4inger	100:AY N IH NG ER
4stitutionalization	220200010:EY SH AH N
he	2202002:AY Z
3on	10:IY Y AA N;10:IY AA N
3rdre	10:IY R D R AH
3s	1:IY Z;10:EY IH Z
4her	100:IY IH SH ER
4m	100:IY IH Z AH M
4s	1:AY S
4t	10:IY IH S T
3tch	1:AY CH
4er	10:AY T ER
6s	10:AY T ER Z
4ies	100:IY AH T IY Z
4rich	10:AY T R IH K
7k	10:AY T R IH K
4sch	1:AY CH
4y	100:IY AH T IY
4z	1:IY T S
2ja	10:IY JH AH;12:AA
4ger	100:EH JH EY G ER
4rnett	010:AA R N IH T
9e	100:EH ZH AA R N EH T
3ean	01:IY N
4ct	01:EH K T
6ed	010:EH K T IH D
4sus	010:IY Z AH S
3ohn	01:AA N
4ng	01:AO NG
6e	01:AO NG
6h	01:AO NG
4seph	010:OW S AH F
4y	01:OY
3ulio	0100:UW L IY OW
2kalb	01:AE L B
4y	01:EY
3eyser	010:AY Z ER
3ker	10:EH K ER
3le	10:EH K AH L
5rk	01:ER K
7's	01:ER K S
3om	10:EH K AH M
4ning	100:EH K AH N IH NG
3roon	21:UW N
3uyper	010:AY P ER
2l	1:EH L
3-campos	110:AE M P OW Z
3a	10:EH L AH
4cerda	0010:EH R D AH
5roix	000:AH;000:OY
6uz	010:AA K R UW Z
5y	010:AO S IY
4field	102:IY L D
5uente	0010:EH N T EY
4garza	0010:AA R Z AH
5e	10:EH L IH JH
5range	010:AA G R AA N JH
4hanty	1000:EH L AH HH AH N T IY
5oussaye	0010:AW S EY
5unt	100:EH L AH HH AH N T
8y	1000:EH L AH HH AH N T IY
4ine	01:EY N
5r	01:EH R
4mar	001:AA R
6ter	1000:EH L AH M EY T ER
4ncey	100:EH L AH N S IY
6y	100:EH L AH N S IY
5d	01:AE N D
5e	10:EH L AH N
6y	010:EY N IY
5ge	10:EH L EY N JH
5o	010:AA N OW;100:EH L AH N OW
6y	100:EH L AH N OY
5y	100:EH L AH N IY
4o	10:EH L AW
4p	10:EH L AH P
5az	010:AA P AA Z
5ena	0010:EH N AH
5p	10:EH L AH P
4ra	010:AA R AH
5iva	0010:IY V AH
5osa	0010:OW S AH
4shmit	100:EH L AH SH M IH T
7utt	100:EH L AH SH M AH T
5ki	010:AE S K IY
4torre	0010:AO R IY
5te	01:AE T
4uder	100:EH L AW D ER
5ghter	100:EH L AO T ER
5ne	10:EH L AO N
5ra	010:AO R AH
6el	010:AA R AH L
7ntiis	0012:IY Z
as	0010:EY N T IH S
6o	010:AO R OW
5ter	100:EH L AW T ER
4val	100:EH L AH V AE L
6n	100:EH L AH V AH N
5ega	0010:EY G AH
4ware	102:EH R
8's	102:EH R Z
7ian	10200:EH R IY IH N
as	10200:EH R IY IH N Z
5der	100:EH L AO D ER
4y	01:EY
5ed	01:EY D
5ing	010:EY IH NG
5s	01:EY Z
3barco	010:AA R K OW
8's	010:AA R K OW Z
4ene	100:EH L B IH N AH
5rt	10:EH L B ER T
4ianco	0010:AA N K OW
4osque	01:OW S K
4ridge	10:EH L B R IH JH
4uono	210:OW N OW
3cambre	010:AA M B R IY
6p	10:EH L K AE M P
7o	010:AA M P OW
5rlo	210:AA R L OW
5stillo	0010:IH L OW
4hamps	21:AE M P S
4ine	010:IY N IY
4o	10:EH L K OW
5nte	010:OW N T IY
5r	12:AO R
3duca	210:UW K AH
3ebarre	201:AA R
4ctable	0100:EH K T AH B AH L
4e	10:EH L IY
5uw	100:EH L IY UW
4gate	102:EY T;100:EH L AH G AH T
8's	100:EH L IH G AH T S
8d	1020:EY T AH D
8s	102:EY T S;100:EH L AH G AH T S
9'	201:EY T S
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
a's	2010:EY SH AH N Z
as	2010:EY SH AH N Z
4hanty	1000:EH L IH HH AH N T IY
4llis	100:EH L IH L IH S;010:EH L IH S
4o	100:EH L IY OW
5n	100:EH L IY AH N
6ardis	10020:AA R D IH S
4te	01:IY T
6d	010:IY T AH D
6rious	20100:IH R IY AH S
6s	01:IY T S
5ing	010:IY T IH NG
6on	010:IY SH AH N
8s	010:IY SH AH N Z
3favero	0010:EH R OW
4in	10:EH L F IH N
6a	210:IY N AH
6e	010:IY N IY
6o	210:IY N OW
4osse	10:EH L F AH S
4s	1:EH L F S
4t	1:EH L F T
5ware	12:EH R
3gadillo	0010:IH L OW
7o	010:AE D Y OW;010:AA D Y OW
6o	010:AA D OW
5udio	0100:AO D IY OW
4iorno	010:AO R N OW
5udice	010:UW D AH S
4rande	100:EH L G R AE N D IY
5eco	210:EH K OW
5osso	210:OW S OW
4uercio	0100:EH R CH IY OW
5idice	010:AY D IH S
3haize	21:EY Z
4i	10:EH L IY
5's	10:EH L IY Z
3i	10:EH L IY
4a	10:IY L Y AH
5l	010:AY EH L
4berate	0100:IH B ER AH T;0102:EY T;010:IH B R AH T
ad	01020:EY T IH D
aly	01000:IH B ER AH T L IY;0100:IH B R AH T L IY
as	0102:EY T S;010:IH B R EY T S
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
cs	02010:EY SH AH N Z
ave	01020:EY T IH V;0100:IH B R AH T IH V
4cacies	1000:EH L IH K AH S IY Z
7y	1000:EH L AH K AH S IY;1000:EH L IH K AH S IY
6te	100:EH L AH K AH T
8ly	1000:EH L AH K AH T L IY
8ssen	20010:EH S AH N
cs	20010:EH S AH N Z
5h	10:EH L IH K
5ia	010:IY CH AH
6ous	010:IH SH AH S
9ly	0100:IH SH AH SH L IY
4ght	01:AY T
7ed	010:AY T AH D;010:AY T IH D
7ful	010:AY T F AH L
aly	0100:AY T F AH L IY
7ing	010:AY T IH NG
7s	01:AY T S
4la	010:IY L AH
6h	010:AY L AH
5lo	010:IH L OW
4ma	010:IY M AH
4ne	010:IY N IY
6ate	0102:EY T
9d	01020:EY T IH D
9s	0102:EY T S
8ing	01020:EY T IH NG
9on	02010:EY SH AH N
5quencies	0100:IH NG K W AH N S IY Z
ay	0100:IH NG K W AH N S IY
9t	010:IH NG K W AH N T
as	010:IH NG K W AH N T S
4o	100:EY L IY OW
4rious	0100:IH R IY AH S
6um	0100:IH R IY AH M
4sa	010:IY S AH
5e	10:EH L AY Z
5i	010:IY S IY
6o	0100:IY S IY OW
5le	01:AY L
5t	21:IH S T
6ed	210:IH S T IH D
6ing	010:IH S T IH NG
4ver	010:IH V ER
7able	01000:IH V ER AH B AH L;0100:IH V R AH B AH L
8nce	0100:IH V ER AH N S;010:IH V R AH N S
7ed	010:IH V ER D
8r	0100:IH V ER ER
9s	0100:IH V ER ER Z
7ies	0100:IH V ER IY Z;010:IH V R IY Z
8ng	0100:IH V ER IH NG
7s	010:IH V ER Z
7y	0100:IH V ER IY
3k	1:EH L K
4er	10:EH L K ER
3l	1:EH L
4'aquila	1010:IY L AH
5s	1:EH L Z
4a	10:EH L AH
5ert	10:EH L AA R T;10:EH L ER T
5penna	1020:EH N AH
5quila	0010:IY L AH
5rocco	1000:EH L ER OW K OW
5valle	1000:EH L AH V AA L IY
6ecchia	10200:EH K IY AH
4e	1:EH L
5r	10:EH L ER
6i	010:EH R IY
4igatti	0010:AA T IY
5ng	10:EH L IH NG
7er	100:EH L IH NG ER
5s	10:EH L IH S
4olio	0100:OW L IY OW
4ums	10:EH L AH M Z
3ma	10:EH L M AH
5n	10:EH L M AH N
5r	10:EH L M ER
6va	210:AA R V AH
5s	10:EH L M AH Z
6tro	210:AE S T R OW
4ed	12:EH D
6's	12:EH D Z
5r	10:EH L M ER
4onaco	0010:AA K OW
6ico	0010:IY K OW
6t	10:EY L M OW N T
7e	010:AA N T IY
5re	10:EH L M AO R
3negro	210:EH G R OW
5ro	010:EH R OW
3o	10:EH L OW
4ach	10:EH L OW CH
5tch	10:EH L OW CH
4itte	01:OY T
4ney	100:EH L AH N IY
5g	01:AO NG
4ra	010:AO R AH
5e	01:AO R;010:AO R IY
6's	01:AO R Z;010:AO R IY Z
6an	0100:AO R IY AH N
6nzo	0010:EH N Z OW;2010:EH N Z OW
6s	010:AO R IH S
6y	100:EH L ER IY
5ia	0100:AO R IY AH
6s	100:EH L ER IH S
5me	010:AO R M IY
5s	01:AO R Z
4sh	10:EH L AH SH
5reyes	0100:AA S ER AY Z;001:EY Z;0010:EY AH Z
5santos	0010:AA N T OW Z
4uis	201:IY Z
5se	21:AW Z
7d	21:AW Z D
4zier	1000:EH L AH Z IY ER
3p	1:EH L P
4h	1:EH L F
5ax	10:EH L F AE K S
5i	10:EH L F AY
6a	100:EH L F IY AH
7n	10:EH L F Y AH N
6c	10:EH L F IH K
6na	010:IY N AH
7e	010:IY N IY
4ino	210:IY N OW
5zzo	010:IY Z OW
4onte	010:OW N T IY
5zo	210:OW Z OW
4rete	10:EH L P R IY T
5iore	0010:AO R IY
3ray	21:EY
4e	1:EH L R
5al	10:EH L R AH L
4ina	210:IY N AH
7's	210:IY N AH Z
5o	100:EH L R IY OW
4osario	00100:AA R IY OW
6si	010:AA S IY
7o	010:OW S OW
3santo	010:AA N T OW
4ignore	0010:AO R IY
3ta	10:EH L T AH
5's	10:EH L T AH Z
5corp	102:AO R P
5dromeus	2010:OW M AH S
5ic	010:EY IH K
5k	12:AE K
5s	10:EH L T AH Z
4ec	12:EH K
4ona	210:OW N AH
7's	210:OW N AH Z
5ro	010:AO R OW
3uca	010:UW K AH
6s	010:UW K AH Z
5ca	010:UW K AH
6hi	010:UW K IY
6ia	010:UW CH AH
5ia	010:UW CH AH
4de	01:UW D
6d	010:UW D IH D
6s	01:UW D Z
5ing	010:UW D IH NG
4ge	10:EH L Y UW JH
6d	10:EH L Y UW JH D
4ise	010:UW S IY
4na	010:UW N AH
4sion	010:UW ZH AH N
8al	0100:UW ZH AH N AH L
8s	010:UW ZH AH N Z
4xe	01:AH K S
3valle	210:AE L IY
8's	210:AE L IY Z
4e	1:EH L V
5cchio	2100:EH K IY OW
5d	1:EH L V D
5s	1:EH L V Z
4in	10:EH L V IH N
6g	10:EH L V IH NG
3win	10:EH L W IH N
5p	10:EH L W IH P
4yn	10:EH L W IH N
3zell	10:EH L Z AH L
5r	10:EH L Z ER
2maggio	0100:AA JH IY OW
5ogic	2010:AA JH IH K
7ue	102:AA G
9ry	10200:AA G ER IY
9s	102:AA G Z
8ing	1020:AA G IH NG
7y	1020:AA JH IY
4in	01:EY N
